Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Solar Altitude Angle [deg](TimeStep),CR:Zone Mean Air Temperature [C](TimeStep),CR:AFN Zone Infiltration Air Change Rate [ach](Hourly) 
 05/04  05:50:00,20.7,53.0,1.7,338.0,0.0,0.0,-4.881874704498512,24.80937580148527 
 05/04  06:00:00,20.8,52.0,1.4,330.0,0.0,0.0,-2.6323524906856869,24.821823738304937,0.2591511280602466 
 05/04  06:10:00,21.0,50.0,0.9,303.0,0.0,0.0,-0.37231565029407867,24.842922675748615 
 05/04  06:20:00,21.1,52.0,1.2,295.0,2.832,22.0826,1.897417060428572,24.840064389211578 
 05/04  06:30:00,20.9,52.0,1.4,311.0,11.28,40.8137,4.176100047881632,24.79765952139878 
 05/04  06:40:00,21.1,50.0,1.8,314.0,24.65,71.2825,6.463052789766954,24.761655999864595 
 05/04  06:50:00,21.1,51.0,2.3,332.0,37.95,110.5102,8.757652691699315,24.74497591410348 
 05/04  07:00:00,21.1,52.0,2.3,331.0,51.26,147.2572,11.059328764116917,24.739600259721969,0.16850725335654735 
 05/04  07:10:00,21.4,51.0,1.7,328.0,61.72,158.6881,13.367556007687457,24.78811044084312 
 05/04  07:20:00,21.8,50.0,1.5,342.0,74.81,114.3041,15.681850408916996,24.85102250980784 
 05/04  07:30:00,22.2,50.0,1.4,347.0,98.1,145.9569,18.001764458991969,24.92012681472782 
 05/04  07:40:00,22.5,47.0,1.2,346.0,125.9,234.0744,20.32688311814702,25.018363770521107 
 05/04  07:50:00,23.2,44.0,0.5,339.0,128.0,221.4658,22.656820155126803,25.143219806203235 
 05/04  08:00:00,23.8,44.0,0.5,9.0,126.5,224.6523,24.991214796605506,25.24526726093942,0.10961324986957893 
 05/04  08:10:00,24.1,41.0,0.1,103.0,130.4,99.7685,27.329728624655748,25.28071742483165 
 05/04  08:20:00,24.8,39.0,1.4,148.0,166.9,146.6703,29.672042661298979,25.32945022442006 
 05/04  08:30:00,25.4,39.0,0.8,190.0,189.5,126.1936,32.01785457741518,25.39617267038306 
 05/04  08:40:00,25.8,38.0,0.4,118.0,196.5,239.8816,34.366875958168787,25.503221300577175 
 05/04  08:50:00,25.9,38.0,1.9,218.0,198.1,113.24,36.718829547541599,25.548351634633094 
 05/04  09:00:00,25.2,39.0,1.6,201.0,179.5,103.2884,39.073446378866318,25.556886206126419,0.1270087804401836 
 05/04  09:10:00,25.0,39.0,1.4,170.0,182.2,150.6794,41.43046267377128,25.563688377317157 
 05/04  09:20:00,25.5,38.0,1.3,200.0,209.1,168.5037,43.78961635448746,25.62351744927353 
 05/04  09:30:00,25.4,37.0,1.5,180.0,209.5,161.5529,46.15064295731215,25.694289680823059 
 05/04  09:40:00,25.6,38.0,0.8,188.0,236.4,176.7518,48.51327064720766,25.74573033718643 
 05/04  09:50:00,25.9,37.0,1.3,147.0,263.6,191.6827,50.87721389678125,25.845805599858097 
 05/04  10:00:00,26.4,36.0,1.7,141.0,288.7,89.872,53.24216517610527,25.977620422507138,0.16203197913723764 
